City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
470,Nisia Floresta,BR,-6.0911,-35.2086,77.81,89,74,7.38,broken clouds
471,Maurawan,IN,26.4333,80.8833,77.04,15,0,6.24,clear sky
472,Port Keats,AU,-14.25,129.55,80.71,50,63,8.86,broken clouds
473,Doune,GB,56.1899,-4.0529,47.77,75,100,3.4,overcast clouds
474,Wajid,SO,3.8093,43.2471,76.93,75,84,12.8,broken clouds
475,Seydi,TM,39.4816,62.9137,64.17,45,0,14.58,clear sky
476,Luanda,AO,-8.8368,13.2343,76.66,88,68,9.73,broken clouds
477,Sawakin,SD,19.1059,37.3321,81.63,78,0,9.98,clear sky
478,Cheremukhovo,RU,60.3484,59.9851,33.89,96,85,2.77,overcast clouds
479,Baoma,CN,31.4859,106.1128,60.13,77,100,2.77,overcast clouds
480,Nueva Loja,EC,0.0847,-76.8828,71.28,98,100,0.69,overcast clouds
481,Asau,RO,46.4333,26.4,54.52,93,93,5.17,light rain
482,Havelock,US,34.8791,-76.9013,75.97,77,0,10.36,clear sky
483,Pailon,BO,-17.65,-62.75,82.08,64,99,9.66,overcast clouds
484,Charleston,US,32.7766,-79.9309,77.22,65,0,13.8,clear sky
485,Mount Gambier,AU,-37.8333,140.7667,56.19,64,100,4.12,overcast clouds
486,Antalaha,MG,-14.9003,50.2788,72.66,87,28,6.11,light rain
487,Ndele,CF,8.4109,20.6473,79.23,65,99,4.92,overcast clouds
488,Solnechnyy,RU,50.7214,136.6319,29.79,84,15,2.33,few clouds
489,Samarai,PG,-10.6167,150.6667,83.68,73,100,14.14,overcast clouds
490,Chumikan,RU,54.7183,135.315,28.92,85,100,9.24,overcast clouds
491,Sterling,US,39.0062,-77.4286,79.09,45,75,13.8,broken clouds
492,Laurel,US,39.0993,-76.8483,76.46,59,0,14.97,clear sky
493,Mormugao,IN,15.4,73.8,82.24,73,8,7.87,clear sky
494,Lesosibirsk,RU,58.2358,92.4828,28.29,96,100,6.24,light snow
495,Pandan,PH,14.0453,124.1694,81.34,87,95,11.07,overcast clouds
496,Angicos,BR,-5.6656,-36.6011,76.69,80,78,10.69,broken clouds
497,General Roca,AR,-39.0333,-67.5833,64.62,34,65,23.2,broken clouds
498,Guanare,VE,9.0418,-69.7421,84.97,54,99,4.05,overcast clouds
499,Santa Luzia,BR,-19.7697,-43.8514,77.9,62,64,7.56,broken clouds
500,Saint Pete Beach,US,27.7253,-82.7412,85.19,62,40,12.66,scattered clouds
501,Donskoye,RU,45.4552,41.9741,53.73,78,40,4.94,scattered clouds
502,Rwamagana,RW,-1.9487,30.4347,67.44,97,94,1.25,overcast clouds
503,Leningradskiy,RU,69.3833,178.4167,20.7,89,88,1.5,overcast clouds
504,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.07,84,97,12.53,overcast clouds
505,Ancud,CL,-41.8697,-73.8203,45.23,77,75,21.79,light rain
