City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Ust-Ishim,RU,2022-04-20 20:21:56,57.6935,71.1665,39.15,92,100,3.74
203,Birao,CF,2022-04-20 20:21:57,10.2849,22.7882,82.45,51,77,10.29
204,Salvador,SV,2022-04-20 20:21:58,13.8333,-88.9167,88.05,18,0,4.41
205,Toyooka,JP,2022-04-20 20:21:58,35.5333,134.8333,54.48,88,100,6.62
206,Husavik,IS,2022-04-20 20:21:59,66.0449,-17.3389,42.98,85,87,10.33
207,Siva,EG,2022-04-20 20:22:00,29.2041,25.5195,70.81,29,0,5.12
208,Achi,CO,2022-04-20 20:22:00,8.5682,-74.554,79.2,92,97,3.91
209,Namatanai,PG,2022-04-20 20:22:01,-3.6667,152.4333,79.83,82,96,8.43
210,Cidreira,BR,2022-04-20 20:22:02,-30.1811,-50.2056,69.93,70,0,7.67
211,Kokopo,PG,2022-04-20 20:22:02,-4.352,152.2633,77.18,82,95,2.95
212,Bowen,AU,2022-04-20 20:22:04,-20.0167,148.2333,74.95,91,100,11.7
213,Thompson,CA,2022-04-20 20:22:04,55.7435,-97.8558,33.96,51,75,11.5
214,Georgetown,MY,2022-04-20 20:22:05,5.4112,100.3354,78.73,93,20,2.3
215,Maceio,BR,2022-04-20 20:19:46,-9.6658,-35.7353,83.64,65,20,11.5
216,Saravan,AM,2022-04-20 20:22:07,39.7196,45.6483,46.67,84,24,6.2
217,Komsomolskiy,UZ,2022-04-20 20:22:07,40.4272,71.7189,61.52,72,100,0.0
218,Aasiaat,GL,2022-04-20 20:22:08,68.7098,-52.8699,6.22,79,6,11.07
219,Umri,IN,2022-04-20 20:22:09,26.5106,78.9367,92.17,14,100,6.98
220,Abha,SA,2022-04-20 20:22:09,18.2164,42.5053,67.82,77,0,0.0
221,Aklavik,CA,2022-04-20 20:22:10,68.2191,-135.0107,19.4,63,0,3.44
222,Nikel,RU,2022-04-20 20:22:11,69.4128,30.222,39.38,95,100,4.85
223,Ahipara,NZ,2022-04-20 20:22:12,-35.1667,173.1667,67.82,86,92,8.16
224,Kloulklubed,PW,2022-04-20 20:22:13,7.0419,134.2556,80.96,85,100,15.93
225,Sokolac,BA,2022-04-20 20:22:14,43.9397,18.8017,34.77,97,9,3.22
226,Iskitim,RU,2022-04-20 20:22:14,54.6366,83.3045,38.97,87,100,6.46
227,Taoudenni,ML,2022-04-20 20:22:15,22.6783,-3.9836,91.96,10,1,10.58
228,Aqtobe,KZ,2022-04-20 20:22:16,50.2797,57.2072,48.29,81,0,8.95
229,Kavaratti,IN,2022-04-20 20:22:16,10.5669,72.642,84.25,72,3,10.87
230,Vila Franca Do Campo,PT,2022-04-20 20:23:17,37.7167,-25.4333,59.41,62,91,2.26
231,Tyukhtet,RU,2022-04-20 20:23:18,56.5389,89.3011,35.15,82,100,7.09
232,Rioja,AR,2022-04-20 20:23:18,-29.4111,-66.8507,78.94,43,37,7.05
233,Sorland,NO,2022-04-20 20:22:32,67.667,12.6934,44.46,91,100,5.53
234,Khani,GE,2022-04-20 20:21:06,41.9563,42.9566,40.57,99,100,1.9
235,Esil,KZ,2022-04-20 20:23:20,51.9556,66.4042,55.09,76,100,6.73
236,Buraydah,SA,2022-04-20 20:23:21,26.326,43.975,82.85,18,76,13.47
237,Swellendam,ZA,2022-04-20 20:23:21,-34.0226,20.4417,70.63,39,100,4.38
238,Acajutla,SV,2022-04-20 20:23:22,13.5928,-89.8275,86.54,57,0,9.84
239,Abasolo,MX,2022-04-20 20:23:23,20.45,-101.5167,92.52,10,0,8.5
240,Itaituba,BR,2022-04-20 20:23:23,-4.2761,-55.9836,80.76,89,40,5.75
241,Khatanga,RU,2022-04-20 20:23:24,71.9667,102.5,-16.4,100,100,1.7
242,Dalby,AU,2022-04-20 20:23:25,-27.1833,151.2667,57.88,61,2,6.85
243,Tungor,RU,2022-04-20 20:23:25,53.3808,142.9564,31.14,95,100,11.63
244,Muravlenko,RU,2022-04-20 20:23:26,63.7898,74.523,3.63,95,36,13.29
245,Necochea,AR,2022-04-20 20:19:53,-38.5473,-58.7368,68.59,64,93,7.29
246,Vardo,NO,2022-04-20 20:23:27,70.3705,31.1107,35.58,87,0,3.44
247,Erdenet,MN,2022-04-20 20:23:27,49.0333,104.0833,25.48,54,44,4.9
248,Katsuura,JP,2022-04-20 20:23:28,35.1333,140.3,56.61,88,83,4.38
249,Tuatapere,NZ,2022-04-20 20:23:29,-46.1333,167.6833,58.08,98,99,3.38
250,Krasnyy Yar,RU,2022-04-20 20:23:30,46.5331,48.3456,56.97,73,100,18.61
251,Port Hardy,CA,2022-04-20 20:23:30,50.6996,-127.4199,50.0,61,75,19.57
252,Pevek,RU,2022-04-20 20:19:39,69.7008,170.3133,16.83,86,100,1.77
253,Mao,ES,2022-04-20 20:23:31,39.8885,4.2658,55.96,76,20,4.61
254,Luderitz,NA,2022-04-20 20:22:28,-26.6481,15.1594,71.11,43,2,6.13
255,Marataizes,BR,2022-04-20 20:23:32,-21.0433,-40.8244,75.2,76,0,8.79
256,Tuktoyaktuk,CA,2022-04-20 20:23:33,69.4541,-133.0374,3.2,92,40,5.75
257,Ciudad Guayana,VE,2022-04-20 20:23:33,8.3533,-62.6528,92.53,41,100,12.91
258,Riwaka,NZ,2022-04-20 20:23:34,-41.0833,173.0,69.01,97,100,11.65
259,Rawson,AR,2022-04-20 20:23:35,-43.3002,-65.1023,63.14,29,100,14.85
260,Coihaique,CL,2022-04-20 20:23:35,-45.5752,-72.0662,51.75,62,75,5.75
261,Sale,MA,2022-04-20 20:23:36,34.0389,-6.8166,59.76,67,40,9.22
262,Farafangana,MG,2022-04-20 20:23:36,-22.8167,47.8333,74.34,86,7,4.18
263,Orlik,RU,2022-04-20 20:23:37,52.5178,99.825,20.68,76,100,3.87
264,Dicamay,PH,2022-04-20 20:23:37,16.7561,122.0037,70.86,94,0,1.95
265,Borgarnes,IS,2022-04-20 20:23:38,64.5383,-21.9206,46.45,87,100,6.08
266,Batticaloa,LK,2022-04-20 20:23:39,7.7102,81.6924,81.14,82,78,6.06
267,Marawi,PH,2022-04-20 20:23:39,7.9986,124.2928,68.88,92,100,2.37
268,Muros,ES,2022-04-20 20:23:40,42.7762,-9.0603,51.84,68,6,8.81
