City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Bam,IR,78.1,scattered clouds,29.106,58.357,Bam Tourist Hotel
426,Prachuap Khiri Khan,TH,80.69,few clouds,12.2167,99.75,ผกากรองรีสอร์ท
427,Uvira,CD,72.45,light rain,-3.4067,29.1458,Hotel Suzana
430,Praxedis Guerrero,MX,80.06,clear sky,31.3667,-106.0167,Congregación placitas de Otero
435,Impfondo,CG,72.77,light rain,1.6381,18.0667,Auberge La Place de Jules
438,General Pico,AR,71.91,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
439,Morro Bay,US,85.71,clear sky,35.3658,-120.8499,Inn at Morro Bay
447,Hirara,JP,78.08,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
449,Trincomalee,LK,80.58,few clouds,8.5711,81.2335,Welcombe Hotel
454,San Carlos,VE,85.1,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
456,Kapit,MY,74.39,light rain,2.0167,112.9333,Hotel Meligai Kapit
457,Windsor,CA,82.74,clear sky,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
461,Monte Alegre,BR,76.33,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
464,Coari,BR,76.39,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
465,Morondava,MG,76.6,overcast clouds,-20.2833,44.2833,La Case Bambou
467,Sabha,LY,73.89,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
470,Nisia Floresta,BR,77.81,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
